CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Humidity, Mean Humidity, Min Humidity, Mean Sea Level PressureIn, Mean Wind SpeedMPH, CloudCover, Events
6,65,57,49,89,63,37,29.81,10,7,Rain
6,76,63,49,80,56,31,29.74,11,1,
6,81,69,57,86,58,30,29.81,10,4,
6,75,67,59,63,48,33,29.89,8,3,
6,70,64,57,80,60,40,30.0,9,1,
6,76,64,52,83,57,31,30.07,7,1,
6,82,68,54,72,49,26,30.1,5,1,
6,88,71,54,72,49,26,30.0,8,2,
6,90,78,65,58,41,24,29.9,10,0,
6,93,80,67,61,43,24,29.91,12,3,
6,90,80,70,68,55,42,29.83,11,5,Rain
6,78,69,59,65,48,31,30.01,11,0,
6,72,63,54,83,56,28,30.16,8,5,
6,87,72,56,80,54,27,30.08,9,4,
6,94,77,59,60,40,20,30.05,10,4,
6,94,82,69,90,62,33,29.96,11,7,Rain-Thunderstorm
6,87,78,69,90,60,30,29.87,7,5,Rain
6,94,82,69,74,54,33,29.73,17,4,
6,95,87,78,62,51,39,29.89,16,1,
6,95,86,77,56,46,36,29.94,15,1,
6,85,78,70,64,48,32,29.9,10,4,Rain
6,87,76,64,73,50,27,29.98,7,1,
6,87,75,62,78,54,30,30.0,6,6,
6,94,80,65,78,54,30,29.96,7,5,
6,76,68,60,70,52,33,30.07,14,2,
6,83,70,56,78,53,28,30.02,5,1,
6,92,75,57,75,50,25,29.88,12,1,
6,100,88,76,85,64,42,29.78,8,4,Rain-Thunderstorm
6,88,79,69,70,50,30,29.87,7,6,Rain-Thunderstorm
6,92,81,69,93,67,41,29.82,7,5,Rain
