
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2006-2-1,48,40,31,36,31,27,79,66,53,29.84,29.71,29.62,10,10,8,22,11,29,0.00,7,,234<br />
2006-2-2,43,35,27,33,30,25,92,77,62,29.78,29.68,29.58,9,6,4,12,4,20,0.00,7,,153<br />
2006-2-3,44,38,32,39,33,26,100,84,67,29.81,29.65,29.54,10,5,2,20,8,23,0.49,8,Rain-Snow,240<br />
2006-2-4,32,29,25,27,24,18,85,79,72,29.81,29.77,29.73,10,7,1,21,15,25,0.02,8,Snow,319<br />
2006-2-5,34,28,21,21,18,15,78,67,56,29.97,29.81,29.71,10,10,4,21,13,26,T,4,Snow,305<br />
2006-2-6,36,28,20,15,10,7,71,52,32,30.14,30.05,29.97,10,10,10,22,13,29,0.00,0,,292<br />
2006-2-7,33,27,20,10,8,7,62,48,33,30.21,30.18,30.14,10,10,10,14,8,18,0.00,5,,319<br />
2006-2-8,30,26,21,23,16,9,81,64,46,30.32,30.22,30.17,10,7,1,18,11,25,0.02,7,Snow,356<br />
2006-2-9,32,24,16,25,14,7,92,64,36,30.32,30.17,30.03,10,8,1,18,8,23,0.02,6,Snow,237<br />
2006-2-10,37,31,25,28,24,19,92,81,69,30.09,30.01,29.95,10,9,7,14,7,17,T,8,Snow,264<br />
2006-2-11,35,31,26,28,26,23,85,77,69,30.09,30.06,30.04,10,4,0,16,8,22,0.06,7,Snow,352<br />
2006-2-12,30,27,23,22,17,9,88,69,50,30.10,30.04,29.99,10,9,4,17,10,21,T,7,Snow,299<br />
2006-2-13,39,28,16,20,14,10,80,62,44,30.06,29.88,29.72,10,10,9,24,10,31,T,4,,239<br />
2006-2-14,56,40,24,29,25,19,88,60,32,29.88,29.81,29.72,10,9,5,18,11,25,0.00,2,,225<br />
2006-2-15,42,37,32,30,27,22,92,70,48,30.12,30.02,29.86,10,9,3,24,11,30,0.10,7,Rain-Snow,27<br />
2006-2-16,37,30,22,36,31,15,100,89,78,30.12,29.79,29.62,10,5,0,30,15,41,1.09,8,Fog-Rain-Snow-Thunderstorm,11<br />
2006-2-17,24,14,3,14,6,-15,77,59,41,30.66,30.50,30.20,10,10,9,29,15,35,T,4,Snow,300<br />
2006-2-18,8,1,-7,-8,-14,-20,62,52,41,30.76,30.70,30.63,10,10,10,24,13,28,0.00,1,,300<br />
2006-2-19,20,11,1,3,-3,-8,75,57,39,30.63,30.45,30.27,10,10,10,20,10,24,0.00,3,,244<br />
2006-2-20,33,23,12,17,9,4,67,51,35,30.26,30.08,29.91,10,10,10,21,9,26,0.00,2,,228<br />
2006-2-21,37,28,19,18,15,13,84,61,38,30.04,29.97,29.89,10,10,9,17,7,22,0.00,1,,250<br />
2006-2-22,46,35,24,25,22,17,85,62,39,29.91,29.87,29.83,10,9,5,15,8,18,0.00,3,,252<br />
2006-2-23,43,33,23,25,18,11,75,56,37,30.32,30.06,29.90,10,10,10,22,11,26,0.00,2,,288<br />
2006-2-24,47,31,15,28,17,9,68,48,27,30.37,30.16,29.87,10,10,10,24,11,31,0.00,4,,193<br />
2006-2-25,41,31,21,28,11,0,70,50,29,30.56,30.34,29.92,10,10,10,30,14,36,0.00,1,,328<br />
2006-2-26,34,25,16,9,1,-7,62,40,17,30.59,30.44,30.19,10,10,10,16,8,20,0.00,4,,271<br />
2006-2-27,38,33,27,25,17,4,69,50,31,30.18,30.06,29.99,10,10,10,18,11,28,0.00,6,,56<br />
2006-2-28,38,32,26,22,15,9,69,51,32,30.10,30.01,29.93,10,10,10,17,10,23,0.00,7,,73<br />
