CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Humidity, Mean Humidity, Min Humidity, Mean Sea Level PressureIn, Mean Wind SpeedMPH, CloudCover, Events
9,75,73,71,87,76,64,30.02,12,8,Rain
9,82,78,73,93,81,69,29.91,11,7,
9,88,80,71,93,74,55,29.9,4,3,
9,90,78,66,93,70,47,29.88,9,5,Rain-Thunderstorm
9,86,75,63,100,74,48,29.81,7,5,Rain-Thunderstorm
9,86,77,68,84,57,30,29.89,7,1,
9,78,69,59,90,73,56,29.83,10,7,Rain
9,73,64,54,93,66,38,29.86,12,2,Rain
9,72,64,55,93,69,44,30.01,9,3,
9,75,64,52,86,61,36,30.16,7,2,
9,83,68,52,89,62,34,30.1,12,1,
9,86,75,63,78,56,34,30.12,10,3,
9,71,63,54,93,76,58,30.25,10,7,Rain
9,76,64,51,100,65,29,30.3,8,4,
9,79,65,50,83,56,28,30.22,4,1,
9,77,63,49,83,57,31,30.05,5,3,
9,78,67,55,93,70,47,29.83,9,6,Rain-Thunderstorm
9,63,55,47,93,63,33,29.89,12,4,
9,73,57,41,89,59,29,29.95,16,3,
9,72,62,51,77,51,25,29.87,9,6,
9,60,54,48,100,77,54,29.87,7,8,Rain
9,59,52,44,100,72,44,29.96,11,4,Rain
9,61,51,40,86,58,29,30.22,7,1,
9,70,54,37,79,51,23,30.07,12,1,
9,77,63,49,93,68,43,29.85,9,3,
9,68,61,53,93,73,52,30.0,10,4,
9,65,56,46,86,67,48,30.17,9,4,
9,67,59,50,86,67,48,30.14,9,3,Rain
9,79,64,48,93,58,23,30.04,6,1,
9,66,58,50,93,67,40,29.96,8,3,
