
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2016-3-1,30,24,18,27,21,10,92,80,67,30.09,29.88,29.75,10,6,0,26,17,34,0.10,7,Fog-Rain-Snow,7<br />
2016-3-2,32,22,11,24,9,2,74,55,36,30.22,30.15,30.11,10,9,2,15,7,18,T,4,Snow,242<br />
2016-3-3,33,30,27,29,26,18,92,78,63,30.14,30.08,30.04,10,5,1,15,9,19,0.07,8,Snow,67<br />
2016-3-4,39,30,20,27,21,15,92,68,44,30.24,30.15,30.06,10,8,1,18,7,21,0.07,5,Snow,187<br />
2016-3-5,39,34,29,34,29,26,92,81,70,30.28,30.10,29.98,10,7,3,15,8,21,T,8,,266<br />
2016-3-6,52,43,33,37,32,26,82,68,54,30.29,30.10,29.91,10,9,7,26,14,31,0.00,7,,195<br />
2016-3-7,63,54,44,49,43,35,77,66,55,29.91,29.87,29.83,10,10,10,23,13,27,0.03,7,Rain,191<br />
2016-3-8,70,64,58,55,52,47,78,66,53,29.91,29.86,29.80,10,10,10,26,17,34,T,6,Rain,206<br />
2016-3-9,63,56,48,57,53,42,100,86,71,30.01,29.88,29.78,10,9,4,22,10,27,0.18,8,Rain,234<br />
2016-3-10,51,44,37,41,38,34,85,72,59,30.28,30.11,30.01,10,10,9,13,7,18,0.00,7,,19<br />
2016-3-11,55,45,34,35,33,31,92,69,46,30.40,30.33,30.27,10,10,10,12,5,16,0.00,4,,85<br />
2016-3-12,59,46,33,44,40,31,100,77,53,30.24,30.12,29.97,10,7,2,12,5,14,T,7,Rain,92<br />
2016-3-13,48,46,43,45,43,39,100,88,76,29.96,29.79,29.66,10,5,1,20,9,27,0.66,8,Rain,44<br />
2016-3-14,55,49,43,46,44,41,100,87,74,29.79,29.70,29.65,10,6,1,14,5,16,0.01,8,Rain,248<br />
2016-3-15,58,52,46,54,48,42,93,83,72,29.79,29.66,29.36,10,7,2,28,13,33,0.14,8,Rain-Thunderstorm,110<br />
2016-3-16,56,51,45,54,40,30,93,66,38,29.79,29.53,29.34,10,10,5,41,23,53,0.04,6,Rain-Thunderstorm,243<br />
2016-3-17,56,48,40,31,28,24,70,51,32,29.93,29.84,29.78,10,10,10,30,15,41,0.00,2,,261<br />
2016-3-18,49,41,32,33,29,23,82,64,45,30.16,30.07,29.95,10,10,10,16,9,23,0.00,4,,358<br />
2016-3-19,46,41,35,32,30,27,82,68,53,30.23,30.17,30.11,10,10,10,17,9,24,0.00,7,,37<br />
2016-3-20,44,37,30,29,25,21,82,63,43,30.23,30.18,30.14,10,10,10,18,8,25,0.00,4,,29<br />
2016-3-21,49,39,28,29,24,20,78,57,36,30.20,30.12,29.98,10,10,10,14,7,18,0.00,4,,274<br />
2016-3-22,63,52,40,38,33,30,76,56,36,29.96,29.76,29.63,10,10,10,23,12,28,0.00,7,,210<br />
2016-3-23,42,39,36,38,36,34,100,88,76,29.88,29.82,29.76,10,6,2,21,15,28,0.11,8,Rain,40<br />
2016-3-24,39,35,30,38,33,23,100,86,72,29.89,29.63,29.49,10,5,1,24,15,33,1.09,8,Rain-Snow,360<br />
2016-3-25,48,38,28,32,27,23,89,69,49,30.15,30.05,29.91,10,10,10,13,7,18,0.00,4,,40<br />
2016-3-26,54,43,31,37,33,29,96,71,46,30.20,30.13,30.07,10,10,8,15,8,19,0.00,5,,124<br />
2016-3-27,63,50,36,43,39,34,92,70,48,30.07,29.91,29.83,10,9,4,21,10,25,0.32,6,Rain,277<br />
2016-3-28,53,44,35,39,36,30,89,67,44,30.23,30.05,29.88,10,10,10,21,10,26,0.00,6,,321<br />
2016-3-29,58,45,31,36,30,26,92,62,32,30.34,30.26,30.13,10,10,6,17,7,21,0.00,3,,153<br />
2016-3-30,62,52,42,56,44,31,93,72,51,30.11,29.77,29.50,10,10,5,28,16,36,0.13,8,Rain-Thunderstorm,181<br />
2016-3-31,67,56,44,58,52,40,92,79,66,29.59,29.40,29.25,10,9,2,36,17,44,0.39,7,Rain-Thunderstorm,237<br />
