CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Humidity, Mean Humidity, Min Humidity, Mean Sea Level PressureIn, Mean Wind SpeedMPH, CloudCover, Events
2,48,40,32,85,71,56,30.09,5,5,
2,43,37,31,92,81,70,30.29,4,7,
2,39,36,33,89,80,70,30.43,7,8,
2,42,36,29,85,76,67,30.27,10,6,
2,45,37,29,85,69,53,30.26,5,4,
2,33,32,30,92,84,75,30.18,11,7,
2,36,33,29,85,76,66,30.32,12,8,Snow
2,37,31,25,81,60,38,30.36,8,5,
2,36,29,21,84,66,47,30.21,10,2,
2,36,25,14,89,74,59,29.99,15,8,Fog-Snow
2,20,15,10,66,56,45,30.36,15,1,
2,35,26,16,59,49,38,30.31,12,0,
2,36,26,15,85,63,40,30.03,9,7,Snow
2,36,33,29,92,81,70,29.88,8,8,Snow
2,43,37,30,92,81,70,30.03,9,7,Rain
2,47,41,34,92,65,37,30.03,9,5,Rain
2,49,39,28,78,60,42,30.08,9,3,
2,39,33,27,75,60,44,30.17,8,2,
2,38,31,24,81,63,44,30.2,6,3,
2,45,34,22,88,63,37,30.18,10,5,
2,41,37,33,96,75,54,29.68,12,7,Rain-Snow
2,44,37,29,89,77,64,29.52,6,7,Rain-Snow
2,40,35,29,96,86,76,29.51,7,8,Fog-Rain-Snow
2,35,31,26,96,80,63,29.62,16,8,Snow
2,27,22,16,74,65,55,30.19,11,2,
2,53,35,17,84,63,41,30.13,14,1,
2,40,33,25,75,61,46,30.32,11,2,
2,44,34,23,81,63,45,30.23,9,7,Rain
2,59,47,35,93,67,40,29.55,18,6,Fog-Rain-Snow
