
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2006-1-1,45,36,26,39,32,25,93,78,62,29.93,29.81,29.70,10,7,2,18,9,24,0.03,7,Rain,106<br />
2006-1-2,42,41,40,40,39,37,100,95,89,29.78,29.63,29.54,7,3,1,22,13,28,0.37,8,Rain-Thunderstorm,50<br />
2006-1-3,42,41,39,40,38,37,100,93,86,29.97,29.89,29.76,7,4,2,16,6,20,T,8,,104<br />
2006-1-4,43,40,36,41,37,31,96,86,76,29.90,29.76,29.68,10,6,0,21,12,31,0.02,8,Fog-Rain,264<br />
2006-1-5,37,34,31,32,26,19,96,79,61,30.14,30.03,29.89,10,10,2,18,12,26,T,8,Snow,331<br />
2006-1-6,31,30,28,24,20,16,81,70,58,30.20,30.05,29.81,10,10,10,20,11,25,0.00,8,,273<br />
2006-1-7,39,34,28,29,26,24,85,72,59,29.83,29.76,29.70,10,9,5,17,9,25,0.00,6,,269<br />
2006-1-8,45,39,32,35,31,25,85,74,62,29.81,29.63,29.47,10,10,7,22,11,25,0.00,6,,67<br />
2006-1-9,38,36,33,33,27,21,85,73,61,30.42,30.20,29.80,10,10,7,16,9,21,0.00,8,,301<br />
2006-1-10,38,29,20,35,27,18,92,77,61,30.41,30.22,29.89,10,7,2,14,6,21,0.05,6,Rain,129<br />
2006-1-11,42,40,37,39,36,35,100,88,76,29.88,29.80,29.76,10,6,1,20,9,23,0.05,6,Rain,199<br />
2006-1-12,57,48,38,44,37,34,85,68,51,29.76,29.67,29.58,10,10,9,18,12,24,0.00,4,,197<br />
2006-1-13,49,41,32,45,33,20,100,80,59,29.89,29.63,29.52,10,5,0,28,13,33,0.67,7,Fog-Rain-Snow,333<br />
2006-1-14,37,33,28,24,20,18,78,63,47,30.16,30.10,29.92,10,10,10,22,9,28,0.00,5,,345<br />
2006-1-15,45,36,27,26,24,22,81,63,45,30.12,29.88,29.65,10,10,10,21,12,25,0.00,6,,151<br />
2006-1-16,47,39,30,37,31,25,78,68,58,29.64,29.59,29.55,10,10,10,14,9,20,0.00,5,,134<br />
2006-1-17,43,35,27,38,29,15,92,78,63,29.58,29.54,29.46,10,6,2,22,13,24,T,8,Rain-Snow,273<br />
2006-1-18,35,28,20,26,16,10,69,62,54,29.96,29.82,29.58,10,10,10,24,13,29,T,6,Snow,243<br />
2006-1-19,55,41,27,45,34,25,85,68,50,29.91,29.79,29.70,10,10,10,18,9,22,0.00,4,,192<br />
2006-1-20,46,39,32,35,30,28,92,81,70,30.09,29.98,29.84,10,4,0,18,10,23,0.78,8,Fog-Rain-Snow,15<br />
2006-1-21,34,26,18,30,24,19,100,85,69,30.50,30.30,29.94,10,6,0,20,6,22,0.04,5,Fog-Snow,253<br />
2006-1-22,36,30,24,30,26,23,100,88,75,30.50,30.40,30.24,10,4,0,12,3,14,0.00,7,Fog-Snow,240<br />
2006-1-23,30,27,23,27,22,19,92,78,63,30.25,30.15,29.91,10,5,1,22,10,29,0.00,5,Snow,256<br />
2006-1-24,40,35,29,31,28,23,92,78,64,30.02,29.76,29.61,10,8,5,29,19,39,T,7,Snow,257<br />
2006-1-25,35,30,25,21,20,18,75,61,47,30.43,30.30,30.05,10,10,10,30,12,37,0.00,3,,293<br />
2006-1-26,43,30,17,25,21,15,85,64,43,30.54,30.47,30.42,10,10,8,13,6,16,0.00,0,,197<br />
2006-1-27,51,43,35,31,27,24,64,52,39,30.42,30.28,30.17,10,10,10,22,12,28,0.00,4,,197<br />
2006-1-28,49,43,36,46,39,29,93,78,62,30.20,29.95,29.58,10,8,4,22,9,28,0.43,7,Rain,174<br />
2006-1-29,50,45,39,47,42,32,100,90,79,29.60,29.44,29.31,10,8,2,24,14,30,0.28,8,Rain,233<br />
2006-1-30,39,36,32,32,29,25,85,79,72,29.88,29.72,29.60,10,8,2,20,12,26,T,8,Snow,287<br />
2006-1-31,38,34,30,29,25,22,85,75,64,30.01,29.94,29.86,10,10,9,16,10,20,0.00,7,,251<br />
