CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Humidity, Mean Humidity, Min Humidity, Mean Sea Level PressureIn, Mean Wind SpeedMPH, CloudCover, Events
2,48,40,31,79,66,53,29.71,11,7,
2,43,35,27,92,77,62,29.68,4,7,
2,44,38,32,100,84,67,29.65,8,8,Rain-Snow
2,32,29,25,85,79,72,29.77,15,8,Snow
2,34,28,21,78,67,56,29.81,13,4,Snow
2,36,28,20,71,52,32,30.05,13,0,
2,33,27,20,62,48,33,30.18,8,5,
2,30,26,21,81,64,46,30.22,11,7,Snow
2,32,24,16,92,64,36,30.17,8,6,Snow
2,37,31,25,92,81,69,30.01,7,8,Snow
2,35,31,26,85,77,69,30.06,8,7,Snow
2,30,27,23,88,69,50,30.04,10,7,Snow
2,39,28,16,80,62,44,29.88,10,4,
2,56,40,24,88,60,32,29.81,11,2,
2,42,37,32,92,70,48,30.02,11,7,Rain-Snow
2,37,30,22,100,89,78,29.79,15,8,Fog-Rain-Snow-Thunderstorm
2,24,14,3,77,59,41,30.5,15,4,Snow
2,8,1,-7,62,52,41,30.7,13,1,
2,20,11,1,75,57,39,30.45,10,3,
2,33,23,12,67,51,35,30.08,9,2,
2,37,28,19,84,61,38,29.97,7,1,
2,46,35,24,85,62,39,29.87,8,3,
2,43,33,23,75,56,37,30.06,11,2,
2,47,31,15,68,48,27,30.16,11,4,
2,41,31,21,70,50,29,30.34,14,1,
2,34,25,16,62,40,17,30.44,8,4,
2,38,33,27,69,50,31,30.06,11,6,
2,38,32,26,69,51,32,30.01,10,7,
